start_time,end_time,duration_hours,sleep_stage
2026-01-02 06:35:27 -0800,2026-01-02 06:46:25 -0800,0.1828,Deep Sleep
2026-01-02 06:46:25 -0800,2026-01-02 07:09:50 -0800,0.3903,Core Sleep
2026-01-02 07:09:50 -0800,2026-01-02 07:36:15 -0800,0.4403,REM Sleep
2026-01-02 07:36:15 -0800,2026-01-02 07:37:15 -0800,0.0167,Awake
2026-01-02 07:37:15 -0800,2026-01-02 08:32:34 -0800,0.9219,Core Sleep
2026-01-02 08:32:34 -0800,2026-01-02 09:33:22 -0800,1.0133,REM Sleep
2026-01-02 09:33:22 -0800,2026-01-02 09:48:49 -0800,0.2575,Core Sleep
2026-01-02 09:48:49 -0800,2026-01-02 09:50:48 -0800,0.0331,Awake
2026-01-02 09:50:48 -0800,2026-01-02 10:05:45 -0800,0.2492,Core Sleep
2026-01-03 05:01:46 -0800,2026-01-03 05:24:12 -0800,0.3739,Core Sleep
2026-01-03 05:24:12 -0800,2026-01-03 05:34:40 -0800,0.1744,Deep Sleep
2026-01-03 05:34:40 -0800,2026-01-03 05:41:08 -0800,0.1078,Core Sleep
2026-01-03 05:41:08 -0800,2026-01-03 05:43:38 -0800,0.0417,Deep Sleep
2026-01-03 05:43:38 -0800,2026-01-03 05:46:37 -0800,0.0497,Core Sleep
2026-01-03 05:46:37 -0800,2026-01-03 05:47:37 -0800,0.0167,Deep Sleep
2026-01-03 05:47:37 -0800,2026-01-03 05:48:07 -0800,0.0083,Core Sleep
2026-01-03 05:48:07 -0800,2026-01-03 05:49:37 -0800,0.0250,Deep Sleep
2026-01-03 05:49:37 -0800,2026-01-03 06:00:05 -0800,0.1744,Core Sleep
2026-01-03 06:00:05 -0800,2026-01-03 06:01:34 -0800,0.0247,Deep Sleep
2026-01-03 06:01:34 -0800,2026-01-03 06:03:04 -0800,0.0250,Core Sleep
2026-01-03 06:03:04 -0800,2026-01-03 06:04:04 -0800,0.0167,Awake
2026-01-03 06:04:04 -0800,2026-01-03 06:22:00 -0800,0.2989,Core Sleep
2026-01-03 06:22:00 -0800,2026-01-03 06:36:28 -0800,0.2411,Deep Sleep
2026-01-03 06:36:28 -0800,2026-01-03 07:07:51 -0800,0.5231,Core Sleep
2026-01-03 07:07:51 -0800,2026-01-03 07:11:51 -0800,0.0667,Deep Sleep
2026-01-03 07:11:51 -0800,2026-01-03 07:18:49 -0800,0.1161,Core Sleep
2026-01-03 07:18:49 -0800,2026-01-03 07:32:46 -0800,0.2325,REM Sleep
2026-01-03 07:32:46 -0800,2026-01-03 07:33:46 -0800,0.0167,Awake
2026-01-03 07:33:46 -0800,2026-01-03 08:05:40 -0800,0.5317,Core Sleep
2026-01-03 08:05:40 -0800,2026-01-03 08:14:38 -0800,0.1494,Deep Sleep
2026-01-03 08:14:38 -0800,2026-01-03 08:34:04 -0800,0.3239,Core Sleep
2026-01-03 08:34:04 -0800,2026-01-03 08:38:33 -0800,0.0747,REM Sleep
2026-01-03 08:38:33 -0800,2026-01-03 08:39:33 -0800,0.0167,Awake
2026-01-03 08:39:33 -0800,2026-01-03 08:42:03 -0800,0.0417,Core Sleep
2026-01-03 08:42:03 -0800,2026-01-03 08:55:30 -0800,0.2242,REM Sleep
2026-01-03 08:55:30 -0800,2026-01-03 08:58:29 -0800,0.0497,Awake
2026-01-03 08:58:29 -0800,2026-01-03 09:03:28 -0800,0.0831,Core Sleep
2026-01-03 09:03:28 -0800,2026-01-03 09:25:24 -0800,0.3656,REM Sleep
2026-01-03 09:25:24 -0800,2026-01-03 09:38:51 -0800,0.2242,Core Sleep
2026-01-03 09:38:51 -0800,2026-01-03 09:40:21 -0800,0.0250,Awake
2026-01-03 09:40:21 -0800,2026-01-03 09:45:50 -0800,0.0914,Core Sleep
2026-01-06 01:29:05 -0800,2026-01-06 01:47:31 -0800,0.3072,Core Sleep
2026-01-06 01:47:31 -0800,2026-01-06 02:03:28 -0800,0.2658,Deep Sleep
2026-01-06 02:03:28 -0800,2026-01-06 02:16:26 -0800,0.2161,Core Sleep
2026-01-06 02:16:26 -0800,2026-01-06 02:23:54 -0800,0.1244,Awake
2026-01-06 02:23:54 -0800,2026-01-06 02:50:49 -0800,0.4486,Core Sleep
2026-01-06 02:50:49 -0800,2026-01-06 02:53:18 -0800,0.0414,Deep Sleep
2026-01-06 02:53:18 -0800,2026-01-06 02:57:18 -0800,0.0667,Core Sleep
2026-01-06 02:57:18 -0800,2026-01-06 03:21:13 -0800,0.3986,REM Sleep
2026-01-06 03:21:13 -0800,2026-01-06 03:42:39 -0800,0.3572,Core Sleep
2026-01-06 03:42:39 -0800,2026-01-06 04:12:03 -0800,0.4900,Deep Sleep
2026-01-06 04:12:03 -0800,2026-01-06 04:12:33 -0800,0.0083,Core Sleep
2026-01-06 04:12:33 -0800,2026-01-06 04:13:03 -0800,0.0083,Awake
2026-01-06 04:13:03 -0800,2026-01-06 04:38:28 -0800,0.4236,Core Sleep
2026-01-06 04:38:28 -0800,2026-01-06 04:43:27 -0800,0.0831,Awake
2026-01-06 04:43:27 -0800,2026-01-06 04:45:56 -0800,0.0414,Core Sleep
2026-01-06 04:45:56 -0800,2026-01-06 05:25:19 -0800,0.6564,REM Sleep
2026-01-06 05:25:19 -0800,2026-01-06 06:42:33 -0800,1.2872,Core Sleep
2026-01-06 06:42:33 -0800,2026-01-06 07:25:24 -0800,0.7142,REM Sleep
2026-01-06 07:25:24 -0800,2026-01-06 07:29:53 -0800,0.0747,Core Sleep
2026-01-06 07:29:53 -0800,2026-01-06 07:30:53 -0800,0.0167,Awake
2026-01-06 07:30:53 -0800,2026-01-06 07:38:52 -0800,0.1331,Core Sleep
2026-01-08 01:02:07 -0800,2026-01-08 01:08:05 -0800,0.0994,Core Sleep
2026-01-08 01:08:05 -0800,2026-01-08 01:08:35 -0800,0.0083,Awake
2026-01-08 01:08:35 -0800,2026-01-08 01:27:32 -0800,0.3158,Core Sleep
2026-01-08 01:27:32 -0800,2026-01-08 01:42:58 -0800,0.2572,Deep Sleep
2026-01-08 01:42:58 -0800,2026-01-08 01:43:58 -0800,0.0167,Core Sleep
2026-01-08 01:43:58 -0800,2026-01-08 01:48:57 -0800,0.0831,Deep Sleep
2026-01-08 01:48:57 -0800,2026-01-08 02:04:24 -0800,0.2575,Core Sleep
2026-01-08 02:04:24 -0800,2026-01-08 02:05:24 -0800,0.0167,Awake
2026-01-08 02:05:24 -0800,2026-01-08 02:26:20 -0800,0.3489,Core Sleep
2026-01-08 02:26:20 -0800,2026-01-08 02:37:17 -0800,0.1825,Deep Sleep
2026-01-08 02:37:17 -0800,2026-01-08 02:43:16 -0800,0.0997,Core Sleep
2026-01-08 02:43:16 -0800,2026-01-08 02:44:46 -0800,0.0250,Deep Sleep
2026-01-08 02:44:46 -0800,2026-01-08 02:55:44 -0800,0.1828,Core Sleep
2026-01-08 02:55:44 -0800,2026-01-08 03:09:11 -0800,0.2242,REM Sleep
2026-01-08 03:09:11 -0800,2026-01-08 03:32:36 -0800,0.3903,Core Sleep
2026-01-08 03:32:36 -0800,2026-01-08 03:34:06 -0800,0.0250,Deep Sleep
2026-01-08 03:34:06 -0800,2026-01-08 03:58:31 -0800,0.4069,Core Sleep
2026-01-08 03:58:31 -0800,2026-01-08 04:08:29 -0800,0.1661,Deep Sleep
2026-01-08 04:08:29 -0800,2026-01-08 04:09:59 -0800,0.0250,Core Sleep
2026-01-08 04:09:59 -0800,2026-01-08 04:18:57 -0800,0.1494,REM Sleep
2026-01-08 04:18:57 -0800,2026-01-08 04:22:56 -0800,0.0664,Core Sleep
2026-01-08 04:22:56 -0800,2026-01-08 04:45:22 -0800,0.3739,REM Sleep
2026-01-08 04:45:22 -0800,2026-01-08 05:58:07 -0800,1.2125,Core Sleep
2026-01-08 05:58:07 -0800,2026-01-08 06:49:57 -0800,0.8639,REM Sleep
2026-01-08 06:49:57 -0800,2026-01-08 07:29:19 -0800,0.6561,Core Sleep
2026-01-08 07:29:19 -0800,2026-01-08 07:32:49 -0800,0.0583,Awake
2026-01-08 07:32:49 -0800,2026-01-08 07:38:17 -0800,0.0911,Core Sleep
2026-01-08 07:38:17 -0800,2026-01-08 07:40:47 -0800,0.0417,Awake
2026-01-08 07:40:47 -0800,2026-01-08 07:48:16 -0800,0.1247,Core Sleep
2026-01-08 07:48:16 -0800,2026-01-08 07:49:45 -0800,0.0247,Awake
2026-01-08 07:49:45 -0800,2026-01-08 07:52:45 -0800,0.0500,Core Sleep
2026-01-09 01:09:12 -0800,2026-01-09 01:34:07 -0800,0.4153,Core Sleep
2026-01-09 01:34:07 -0800,2026-01-09 01:41:05 -0800,0.1161,Deep Sleep
